subtitle,author,url,text,section,title,date
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/exercito-robotizado/,"Um levantamento da NetLab, feito a pedido da Veja, concluiu que, “dos vinte campeões de postagens pró-Bolsonaro no Twitter, seis eram claramente robôs e outros nove apresentavam movimentação altamente suspeita.O exército robotizado faz as postagens de Bolsonaro chegar a um público maior do que os seus 26,9 milhões de seguidores nas redes sociais”.",Brasil,Exército robotizado,05/04/2019 09:39:07
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/quem-pode-soltar-lula/,"Quem pode soltar Lula?A  conta que a rádio-corredor dos ministros do STJ registra que é grande a pressão sobre os ombros do ministro Reynaldo Soares da Fonseca, um dos cinco integrantes da turma que julgará o recurso que pode tirar Lula da cadeia.Leia a nota completa .",Brasil,Quem pode soltar Lula?,05/04/2019 09:53:27
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/tv-olavete/,"Os olavetes demitidos do MEC arrumaram uma boquinha na TV Escola.“O canal de comunicação financiado pelo MEC é gerido pela Associação de Comunicação Educativa Roquette Pinto, organização social que recebeu 92,6 milhões de reais dos cofres públicos federais no ano passado”, diz O Globo.Os olavetes são Tiago Tondinelli, Eduardo Freire de Melo e Rodrigo de Almeida Morais.",Brasil,TV Olavete,05/04/2019 08:44:10
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/o-aprendiz-3/,João Doria disse para o Valor que o PSDB não será mais um “depósito de derrotados” nem de “desempregados”.Ele rejeitou também a proposta de “rodízio” no comando do partido e avisou que “quem tem voto” mandará na sigla.,Brasil,O Aprendiz,05/04/2019 08:55:36
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/o-primeiro-demitido-por-velez/,"A primeira demissão no MEC ocorreu antes mesmo de o ano virar e o novo governo assumir.Depois de participar de toda a transição, o cientista político Antônio Flávio Testa, que havia sido indicado para ser o número 2 da pasta como secretário-executivo, foi chamado por Ricardo Vélez, que disse estar “incomodado” com sua postura e o afastou do grupo.Era apenas o início dos rompantes do colombiano, que até agora não conseguiu montar uma equipe sólida.No Congresso, até apoiadores de Jair Bolsonaro já começaram a reconhecer que é preciso pressionar o presidente para aprimorar a gestão no ministério — .",Brasil,O primeiro demitido por Vélez,05/04/2019 08:30:07
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/os-telefonemas-de-toffoli-e-gilmar/,"Alessandro Vieira, em entrevista à , contou que todos os senadores receberam telefonemas para enterrar a CPI da Lava Toga.De quem?“Do Toffoli, do Gilmar. Um senador me disse que outro ministro também ligou. E os argumentos contra a CPI foram se amoldando. Primeiro, que não podia ter CPI porque juridicamente não era possível. Depois, foram mudando para a história de uma crise institucional que poderia parar o país. Em alguns casos, a movimentação era triangular. Ministros do Supremo pediam a outras pessoas para pressionarem. Em vez de o ministro ligar diretamente, ele pedia para alguém que tinha influência sobre o senador ligar. O empresário Benjamin Steinbruch, por exemplo, ligou para o Cid Gomes. Duas senadoras do PSL, Soraya (Thronicke) e Selma (Arruda), foram muito pressionadas pelo Flávio Bolsonaro. Ele não assinou a CPI. Primeiro, disse que não assinava para não comprometer o pai. E depois passou abertamente a defender que não tivesse CPI para não gerar uma crise institucional.”A entrevista completa pode ser lida .",Brasil,Os telefonemas de Toffoli e Gilmar,05/04/2019 09:08:24
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/a-farra-do-boi/,"A PF grampeou Joesley Batista no dia do triunfo eleitoral de Dilma Rousseff, em 2014.A  obteve esses grampos inéditos.Joesley Batista e Ricardo Saud comemoram o resultado com Michel Temer, Fernando Pimentel, Eduardo Cunha, Henrique Meirelles e com o assessor de Edinho Silva.A reportagem da , com os áudios dos protagonistas, revelam a promiscuidade da JBS com o poder.Leia – e escute – . ",Brasil,A farra do boi,05/04/2019 08:33:04
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/o-novo-lider-2/,"O PRB tem grandes chances de assumir a liderança do governo na Câmara, diz a .Além de João Campos, o deputado baiano João Roma também está no páreo para ser o sucessor de Major Vitor Hugo, do PSL, atual líder.Leia a nota completa .",Brasil,O novo líder,05/04/2019 08:05:48
Nao tem subtitle,Diego Amorim,https://www.oantagonista.com/brasil/bolsonaro-recebera-liderancas-pr-sem-valdemar/,"Na próxima terça-feira, será a vez de Jair Bolsonaro receber dirigentes e lideranças do PR, que tem 38 deputados e 2 senadores.A comitiva do partido será formada pelo ex-ministro Alfredo Nascimento, pelos senadores Jorginho Mello e Wellington Fagundes, pelo presidente da legenda, José Tadeu Candelária, e pelo novo líder na Câmara, deputado Wellington Roberto.Valdemar Costa Neto, quem de fato ainda comanda as articulações do partido, não vai pisar no Palácio do Planalto.“Vamos ouvir. Até porque o convite foi formulado pelo governo. Quem convida tem que pagar a conta. O presidente que vai ter que dizer por que nos convidou”, disse Roberto a .O líder acrescentou que não há chance de o PR fechar questão sobre a reforma da Previdência — o partido é contra, por exemplo, as mudanças no BPC, na aposentadoria rural e dos professores.",Brasil,Bolsonaro receberá lideranças do PR (sem Valdemar),05/04/2019 08:00:11
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/sociedade/ana-paula-e-o-politicamente-insano/,"Ana Paula Henkel escreveu para a  uma coluna imperdível sobre Tiffany.Leia um trechinho:“Para quem não acompanha o vôlei feminino brasileiro, Tiffany, que foi Rodrigo na maior parte da sua vida, tem 34 anos. Há pouco mais de dois anos tem níveis de testosterona compatíveis com o esporte feminino, mas por três décadas, quando jogava vôlei em ligas profissionais como Rodrigo, construiu um corpo de 1,94m de estrutura e músculos masculinos. É justo que agora participe de competições com quem é mulher desde que nasceu, que tem ossos, músculos, ligamentos e capacidade aeróbica tipicamente femininas? Você sabe a resposta.”A coluna completa pode (e deve) ser lida .",Sociedade,Ana Paula e o politicamente insano,05/04/2019 07:47:57
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/pf-continua-investigar-esfaqueador-de-bolsonaro/,"A  acompanha de perto o inquérito da PF sobre Adélio Bispo, o homem que tentou assassinar Jair Bolsonaro.Ainda há investigações em curso para averiguar as suspeitas da polícia de que o PCC teria alguma relação com o caso.Leia a nota completa .",Brasil,PF continua a investigar esfaqueador de Bolsonaro,05/04/2019 08:00:43
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/os-banqueiros-pt/,"A Lava Jato vem tentando ouvir Lula na investigação que mira a relação de banqueiros com o PT, diz a .Os advogados do petista, porém, estão fazendo de tudo para evitar.Leia a nota completa .",Brasil,Os banqueiros do PT,05/04/2019 08:14:00
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/estou-preparado-para-governar-o-nosso-pais/,"O governador do Rio de Janeiro, Wilson Witzel, anunciou mais uma vez que pretende se candidatar ao Palácio do Planalto.Ele disse à BBC:“Eu estudei a minha vida inteira, estou preparado para governar o Rio de Janeiro e estou preparado para governar o nosso país. Fiz mestrado, estou terminando meu doutorado e não paro de estudar nunca. Acho que o Brasil precisa sempre de líderes que possam dar as gerações futuras melhores oportunidades. É isso que quero fazer pelo nosso país. A vida é feita de planejamento. O presidente Bolsonaro tem meu respeito. Se ele não for candidato, eu quero dar continuidade a um projeto de transformação do Brasil e resgate da economia do nosso país. O Ministro Paulo Guedes pensa exatamente como eu penso. Temos que ter maior liberalismo econômico, atrair o capital estrangeiro, investir em infraestrutura.”",Brasil,“Estou preparado para governar o nosso país”,05/04/2019 09:18:32
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/a-caravana-passa-3/,"O coordenador da caravana “Lula Livre com Fernando Haddad” já se prepara para o fracasso.Ele disse para o Valor:“Não tem como ser no padrão de mobilização como era com Lula. Só ele consegue aquele público.”Gleisi Hoffmann concorda:“Mas é importante para mostrar a nossa solidariedade, defender a liberdade de Lula e reforçar que essa prisão é uma barbaridade.”",Brasil,A caravana esvaziada,05/04/2019 07:05:52
Nao tem subtitle,Renan Ramalho,https://www.oantagonista.com/brasil/moraes-quer-saber-destino-de-todo-o-dinheiro-pago-em-condenacoes/,"Alexandre de Moraes requisitou a todos os tribunais do país informações sobre o destino do dinheiro pago por condenados em multas e ressarcimentos por desvios e prejuízos aos cofres públicos.A ordem foi emitida dentro da ação na qual PT e PDT questionam o poder do Ministério Público para direcionar a aplicação dos recursos, como foi feito na criação de um fundo com R$ 1,25 bilhão pagos pela Petrobras.O ministro é relator da ação, que busca dar à União o poder sobre os recursos.",Brasil,Moraes quer saber destino de todo o dinheiro pago em condenações,05/04/2019 07:00:16
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/bolsonaro-e-novo-2/,"A pesquisa da XP tem um dado positivo para Jair Bolsonaro: 62% dos entrevistados responderam que ele representa a nova política.Quando perguntados sobre o que caracterizaria uma nova política, o combate à corrupção apareceu em primeiro lugar, com 74%.",Brasil,Bolsonaro é novo,05/04/2019 07:31:17
Nao tem subtitle,Renan Ramalho,https://www.oantagonista.com/brasil/armadilha-de-jaques-wagner-para-o-pacote-anticrime/,"Uma emenda apresentada por Jaques Wagner (PT-BA) no pacote anticrime poderá, se aprovada, diminuir de 12 para 5 anos a pena máxima do crime de corrupção, caso a propina seja paga como doação não declarada de campanha.A armadilha está no projeto que define de forma mais precisa o crime de caixa 2 e vai na direção oposta ao que propôs o ministro Sergio Moro.O texto original deixa mais claro que o recebimento de recursos não contabilizados para campanha é um crime eleitoral, com pena de 2 a 5 anos de prisão.Mas também estabelece que, se houver contrapartida à doação eleitoral, o político deixa de ser punido por caixa 2 para ser enquadrado por corrupção, cuja pena varia de 5 a 12 anos de prisão, conforme o Código Penal.Se há tentativa de esconder o pagamento, aplicam-se mais 3 a 10 anos por lavagem de dinheiro.Na prática, a emenda de Wagner propõe que a punição do caixa 2 se aplique a atos de corrupção e lavagem, se o político conseguir provar que o dinheiro era destinado à sua campanha.",Brasil,A armadilha de Jaques Wagner para o pacote anticrime,05/04/2019 07:30:28
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/cem-dias-de-pesquisas/,"Os cem dias de Jair Bolsonaro estão sendo comemorados com uma série de pesquisas.As taxas de ótimo ou bom, até agora, foram as seguintes:– 34% (Ibope)– 36% (Ipespe)– 38% (Ideia Big Data)– 30,5% (Atlas Político)",Brasil,Cem dias de pesquisas,05/04/2019 06:54:45
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/bolsonaro-perde-mais-4-pontos/,"Jair Bolsonaro, segundo a pesquisa da XP, está caindo mais lentamente.Ele é considerado bom ou ótimo por 35% do eleitorado (eram 37% no mês passado) e ruim ou péssimo por 26% (eram 24%).",Brasil,Bolsonaro perde mais 4 pontos,05/04/2019 07:20:55
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/economia/brexit-adiado-2/,A União Européia ofereceu o adiamento do Brexit por um ano.Theresa May pediu prazo até 30 de junho.,Economia,Brexit adiado,05/04/2019 05:42:05
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/gleisi-contavamos-que-lula-seria-solto-agora/,"Gleisi Hoffmann contava com a soltura de Lula na semana que vem, com o julgamento do STF.Ela disse para o Valor:“Estamos apreensivos com esse adiamento. Contávamos que Lula seria solto agora, para abreviar o calvário na prisão. Quanto mais demora, mais fica difícil.”",Brasil,Gleisi: “Contávamos que Lula seria solto agora”,05/04/2019 06:09:03
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/vamos-abrir-caixa-preta-judiciario/,"O senador Alessandro Vieira, em entrevista à , disse que a CPI da Lava Toga ainda pode sair:“A perspectiva é positiva. Vamos aguardar o parecer na CCJ e buscar apoio lá dentro. O movimento do PT e MDB é forte, contrário à CPI. Mas acredito em uma análise mais técnica na CCJ. Sigo dizendo que é questão de tempo. Acredito que ela sairá. Vamos abrir a caixa-preta do Judiciário.”Os mais de 70 mil assinantes da  podem ler a entrevista completa .",Brasil,“Vamos abrir a caixa-preta do Judiciário”,05/04/2019 06:16:30
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/pf-no-rastro-ministro-turismo/,"O ministro do Turismo ainda não foi demitido, provocando um desgaste desnecessário ao governo.Nesta sexta-feira, a Folha de S. Paulo informa que a PF “vê elementos de participação de Marcelo Álvaro Antônio no esquema de candidaturas de laranjas do PSL em Minas Gerais na eleição de 2018.Investigadores apuram inicialmente a suspeita do crime de falsidade ideológica. Outro crime em apuração é o de lavagem de dinheiro.”",Brasil,PF no rastro do ministro do Turismo,05/04/2019 06:38:06
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/o-que-falta-temer/,"Em entrevista à Bandeirantes, Michel Temer jurou inocência de todas as acusações que lhe são feitas.Ele também disse que não voltará à vida pública, porque já foi tudo.Quase tudo. Só falta ser presidiário em tempo integral, caso venha a ser condenado. ",Brasil,O que falta a Temer,04/04/2019 23:12:24
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/moro-2022-2026/,"Sergio Moro, em menos de 24 horas, conseguiu 381 mil seguidores no Twitter.A meta imediata é aprovar o pacote anticrime. Mas a carreira dele vai longe.",Brasil,"Moro 2022, 2026…",05/04/2019 06:05:14
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/parlamentarismo-tchuchuca/,"“Nas últimas semanas”, diz Raquel Landim, “cresceram as articulações diretas dos grandes empresários junto aos principais líderes no Congresso, com destaque para Rodrigo Maia, para instituir um parlamentarismo informal.O objetivo é viabilizar a reforma da Previdência e, na sequência, a reforma tributária e isolar o presidente Jair Bolsonaro, deixando Paulo Guedes como uma espécie de primeiro-ministro”.",Brasil,Parlamentarismo tchuchuca,05/04/2019 08:19:19
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/bolsonaro-diz-que-13o-bolsa-familia-sera-pago-no-final-deste-ano/,"Jair Bolsonaro anunciou a implementação neste ano de uma das promessas de campanha: o 13º do Bolsa Família.“Está garantido no final do ano”, afirmou o presidente em sua live no Facebook.Será usado dinheiro recuperado de ações contra fraudes.",Brasil,Bolsonaro diz que 13º do Bolsa Família será pago no final deste ano,04/04/2019 21:26:26
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/vice-lider-critica-falta-de-apoio-governo-guedes/,"O vice-líder do governo na Câmara, Capitão Augusto, criticou o que chamou de falta de apoio da bancada governista a Paulo Guedes na sessão de ontem da CCJ, registra o UOL.Para o deputado do PR de São Paulo, a audiência –à qual Guedes compareceu para falar da reforma da Previdência– pareceu ser dominada pela oposição, e a “falta de deputados federais para defender o ministro preocupa demais”.Segundo Augusto, os deputados da CCJ não se empenharam por Guedes porque o governo não conseguiu criar boa relação com os parlamentares.“Estamos tomando literalmente chá de banco dos ministros. Reclamação generalizada.”",Brasil,Vice-líder critica falta de apoio do governo a Guedes,04/04/2019 20:45:10
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/flavio-bolsonaro-quer-criminalizar-arrastao/,"O senador Flávio Bolsonaro apresentou projeto para criminalizar o arrastão, com penas de 6 a 12 anos de prisão. Caso o crime resulte em morte, a pena pode ir de 20 a 30 anos de cadeia.Na justificativa da proposta, Bolsonaro esclarece o que é o arrastão:“É um crime comumente praticado em locais abetos ao público, como praias e shoppings centers, por um grupo de criminosos que, valendo-se do elemento surpresa, furtam ou roubam o público presente no local, por meio de ações múltiplas, coletivas, continuadas, rápidas e com emprego de violência ou ameaça intimidadora.”Ainda segundo o texto, o arrastão também costuma acontecer “no interior de ônibus, trens, metrô e outros meios de transporte coletivos e, ainda, em engarrafamentos, vias de acesso, marginais, rodovias”. Também ocorre em restaurantes, rádios etc.Em praticamente todos os lugares do país.   ",Brasil,Flávio Bolsonaro quer criminalizar arrastão,04/04/2019 20:23:04
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.“É uma situação insuportável que só se compara com a de países e guerra”, disse a Duda Teixeira, de , o pesquisador César Muñoz, da Human Rights Watch.Leia a reportagem:",Mundo,"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04/04/2019 21:00:58
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/doleiro-foragido-muda-o-rosto/,"Foragido desde maio passado, Dario Messer, o doleiro dos doleiros, “fez uma transformação total de sua face” e “está irreconhecível”, informa Lauro Jardim, n’O Globo.Segundo o colunista ouviu de um interlocutor, ele não precisou de cirurgia plástica.",Brasil,Doleiro foragido muda o rosto,04/04/2019 21:30:41
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/alexandre-de-moraes-bate-boca-com-pf-em-aeroporto/,"Alexandre de Moraes teve um entrevero com a PF antes de embarcar em seu voo na terça passada no aeroporto de Brasília, relata Bela Megale em O Globo.Segundo a repórter, o ministro do STF não permitiu que um funcionário passasse nele o aparelho detector de metais e seguiu para o avião. A recusa fez com que a PF fosse acionada.Um delegado e um agente foram até a aeronave onde Moraes já estava e explicaram que ele não poderia ser dispensado do procedimento.Irritado, o ministro acabou cedendo enquanto reclamava da PF em voz alta. ",Brasil,Alexandre de Moraes bate boca com PF em aeroporto,04/04/2019 20:30:31
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/moro-brinca-sobre-conta-no-twitter-se-der-errado-culpa-e-de-bolsonaro/,"Durante a live que fez com Jair Bolsonaro no Facebook agora há pouco, Sergio Moro falou sobre a criação de seu perfil pessoal no Twitter –que, neste momento (às 19h58), já está com 276 mil seguidores.O ministro da Justiça disse que a abertura da conta na rede social foi incentivada pelo presidente. E brincou: “Se der errado, a culpa é dele [Bolsonaro]”.",Brasil,"Moro brinca sobre conta no Twitter: se der errado, culpa é de Bolsonaro",04/04/2019 19:59:03
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/terapia-do-abraco/,"A Casa Civil divulgou fotos do encontro de hoje cedo entre Jair Bolsonaro e os caciques partidários (do toma lá, da cá).O presidente garante que não distribuiu cargos, só abraços.O diálogo será uma marca desse governo: hoje o dia foi de reuniões com presidentes de partidos, sob o comando do nosso capitão . — Casa Civil (@casacivilbr) ",Brasil,Terapia do abraço,04/04/2019 19:56:55
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/sociedade/justica-bloqueia-r-100-milhoes-da-braskem-por-afundamento-de-bairro-em-maceio/,"A Justiça de Alagoas determinou hoje o bloqueio de R$ 100 milhões da Braskem, indústria química do grupo Odebrecht, registra a Folha.O MP e a Defensoria Pública alagoanos haviam solicitado o bloqueio de R$ 6,7 bilhões, mas o juiz Pedro Simões de França limitou o valor a R$ 100 milhões.O objetivo do bloqueio é reparar eventuais danos a moradores do bairro do Pinheiro, em Maceió, onde o solo afundou e há rachaduras nas casas.O problema é  –a empresa nega a acusação.A Promotoria havia pedido também o bloqueio de todas as ações da Braskem negociadas em Bolsa, o que foi negado pelo juiz.",Sociedade,Justiça bloqueia R$ 100 milhões da Braskem por afundamento de bairro em Maceió,04/04/2019 19:37:30
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/bolsonaro-pediu-desculpas-por-caneladas-diz-onyx/,"Onyx Lorenzoni disse que Jair Bolsonaro se desculpou por eventuais “caneladas” em políticos em seus encontros com líderes partidários para discutir a reforma da Previdência.“O presidente, com sua humildade, se desculpou de uma canelada aqui, outra acolá”, afirmou o ministro-chefe da Casa Civil, conforme o relato do UOL.Segundo Onyx, todos os líderes de partidos concordaram que é “o momento de passar por cima de nossas diferenças”.",Brasil,"Bolsonaro pediu desculpas por ‘caneladas’, diz Onyx",04/04/2019 19:19:52
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/hollerbach-vai-para-casa/,"Ex-sócio de Marcos Valério e condenado com ele no mensalão, Ramon Hollerbach ganhou o direito à progressão de regime e vai passar a cumprir pena de 27 de prisão anos em casa.A decisão foi publicada hoje por Luís Roberto Barroso, do STF, que supervisiona a execução das penas do mensalão. O ministro verificou que o publicitário cumpriu os requisitos.Faltou apenas o pagamento da multa de R$ 5,4 milhões, mas como a defesa alegou que ele não teve rendimentos suficientes para quitar a dívida, a progressão foi concedida, com parecer favorável da PGR.",Brasil,Hollerbach vai para casa,04/04/2019 19:51:20
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/mesmas-de-antes/,"Confira a  da denúncia do MPF contra 13 ex-executivos de gestoras, bancos e corretoras, além de ex-dirigentes dos fundos Petros e Postalis – indicados pelo PT e pelo MDB.Trendbank e Planner são velhas conhecidas de escândalos políticos anteriores, como Banestado e Mensalão. A Greenfield também fisgou o Santander, citado na delação de Antonio Palocci.",Brasil,As mesmas de antes,04/04/2019 20:02:48
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/forca-tarefa-da-greenfield-denuncia-13-por-fraudes-com-recursos-de-petros-e-postalis/,"A força-tarefa da Greenfield acaba de denunciar 13 pessoas por fraudes milionárias praticadas no Fundo de Investimento em Direitos Creditórios Trendbank, que captou recursos dos fundos de pensão Petros e Postalis.As investigações revelaram a participação de outras pessoas ligadas às corretoras Finaxis, Planner e ao banco Santander, além do grupo empresarial Rock – do delator Adir Assad.A denúncia aponta crimes contra o sistema financeiro, gestão temerária, fraudulenta, desvio de recursos e a emissão de duplicatas simuladas.Os procuradores da Greenfield pedem, além das condenações dos envolvidos, o pagamento de mais de R$560 milhões como título de reparação econômica e moral às vítimas participantes dos fundos de pensão. O valor é equivalente ao triplo dos aportes realizados nas operações criminosas.Além dos executivos das gestoras, foram denunciados os ex-dirigentes dos fundos – figuras carimbadas indicadas pelo PT e MDB – e Assad, também investigado na Lava Jato.Confira a lista: Adilson Florêncio da Costa, Alexej Predtechensky, Ricardo Oliveira Azevedo, Wagner Pinheiro de Oliveira, Luiz Carlos Fernandes Afonso, Newton Carneiro da Cunha, Maurício França Rubem, Marcelo Andreetto Perillo, Adolpho Julio da Silva Mello Neto, Adir Assad, Edilberto Pereira, Carlos Arnaldo Borges de Souza e Marco Aurélio da Nóbrega.",Brasil,Força-tarefa da Greenfield denuncia 13 por fraudes com recursos de Petros e Postalis,04/04/2019 18:11:33
